PHASE;ID;GENDER;ATENEO;CLASS;FASCIAETA;ANNO;LIVELLO;ESAME_!;ESAME_2;ESAME_TOT;RIP;EFFICACIA
5;79137;M;BOLOGNA;CL01;2;2011;3;1;1;1;;54%
5;92915;M;TRENTO;CL05;2;2004;2;1;1;1;;64%
5;99912;M;BOLOGNA;CL01;2;2011;3;1;1;1;;45%
5;96040;M;BERGAMO;CL05;2;2011;2;1;0;0;;64%
5;105667;M;EXTRA-UE;CL09;1;2006;2;0;0;0;;33%
5;85563;F;VARESE;CL01;2;2014;3;1;1;1;;64%
5;101031;M;SALERNO;CL01;2;2001;3;1;1;1;;45%
5;86545;F;NAPOLI;CL05;2;2015;3;1;1;1;;38%
5;101632;M;VERONA;CL01;2;2017;3;1;1;1;;64%
5;93216;F;BARI;CL01;2;2015;3;1;1;1;;38%
5;103724;M;SALERNO;CL01;2;2000;2;1;1;1;;69%
5;106096;M;PISA;CL08;1;2013;3;1;0;0;;54%
5;105838;M;MESSINA;CL09;1;2014;3;1;1;1;;38%
5;97454;M;BENEVENTO;CL01;2;2015;3;0;1;0;;27%
5;101434;M;NAPOLI;CL01;2;2015;3;0;1;0;;9%
5;104075;M;MILANO;CL01;2;2017;3;1;1;1;;64%
5;84892;M;ENNA;CL05;1;2016;3;1;1;1;;54%
5;86606;M;FIRENZE;CL05;2;2002;2;1;1;1;;69%
5;102731;M;UE;CL09;1;2001;3;1;1;1;;100%
5;102475;M;MILANO;CL01;2;2017;3;0;1;0;;43%
5;92484;M;PISA;CL05;2;2015;3;1;1;1;;54%
5;97146;F;ROMA;CL03;2;2005;3;1;1;1;;38%
5;102350;M;PAVIA;CL05;2;2015;3;0;1;0;;33%
5;101732;M;L'AQUILA;CL01;1;2017;3;1;1;1;;45%
5;100449;M;SALERNO;CL01;2;2015;2;1;1;1;1;45%
5;105202;M;PARMA;CL01;2;2014;3;0;0;0;;9%
5;100625;F;TRENTO;CL05;2;2008;3;1;1;1;;69%
5;89422;M;SALERNO;CL05;2;2015;2;1;1;1;;56%
5;76232;M;TRENTO;CL09;1;2002;2;1;0;0;1;45%
5;95107;M;MILANO;CL01;2;2016;3;1;1;1;;56%
5;76785;M;TORINO;CL05;2;2014;3;1;1;1;;56%
5;96014;M;PERUGIA;CL05;2;2015;3;1;1;1;;100%
5;78038;M;BENEVENTO;CL05;2;2011;3;1;1;1;;100%
5;76703;F;ANCONA;CL05;2;2004;3;1;1;1;1;38%
5;97482;M;CATANIA;CL01;1;2016;3;1;1;1;1;54%
5;103282;M;CATANIA;CL01;2;2015;3;0;1;0;1;11%
5;75301;F;NAPOLI;CL05;2;2005;2;1;0;0;;64%
5;92603;M;TRENTO;CL09;2;2002;3;1;0;0;;54%
5;77658;M;PADOVA;CL05;2;2002;2;1;1;1;;56%
5;105195;M;TORINO;CL05;2;2015;3;1;1;1;;64%
5;80767;M;ROMA;CL01;2;2007;3;1;1;1;;56%
5;104724;M;MESSINA;CL01;1;2008;3;0;0;0;;60%
5;88461;F;BRESCIA;CL05;2;2015;3;1;1;1;1;56%
5;87953;M;PISA;CL05;2;2017;2;1;0;0;;38%
5;77886;M;UE;CL09;2;2002;3;1;1;1;1;56%
5;103871;M;UDINE;CL01;2;2014;3;1;0;0;;54%
5;91332;F;UE;CL09;2;2012;3;0;1;0;;9%
5;91516;M;PERUGIA;CL01;2;2006;3;0;1;0;;11%
5;80443;M;MILANO;CL05;2;2001;3;0;1;0;;33%
5;81923;M;ROMA;CL05;2;2015;3;1;1;1;;100%
5;85916;M;ANCONA;CL05;2;2016;3;1;1;1;;54%
5;74899;M;REGGIO CALABRIA;CL05;1;2005;3;1;0;0;1;85%
5;102405;M;MODENA;CL01;2;2018;3;1;0;0;;38%
5;79007;M;UDINE;CL05;2;2005;3;1;1;1;;64%
5;103229;M;EXTRA-UE;CL09;2;2014;3;1;1;1;;56%
5;101793;M;FERRARA;CL05;2;2014;3;1;1;1;;78%
5;100937;M;PADOVA;CL05;1;2016;3;1;1;1;;54%
5;88628;M;SALERNO;CL01;2;2015;3;1;1;1;1;100%
5;100010;M;BRESCIA;CL03;1;2005;3;1;0;0;;38%
5;76410;M;CATANZARO;CL05;2;2016;3;1;1;1;;45%
5;104046;M;TRENTO;CL09;2;2013;2;1;1;1;;64%
5;92244;M;REGGIO CALABRIA;CL05;1;2005;3;1;1;1;1;38%
5;100198;F;ROMA;CL05;2;2006;2;0;0;0;;43%
5;82023;F;BARI;CL01;1;2002;3;1;0;0;;56%
5;105259;M;VENEZIA;CL01;2;2017;3;1;1;1;1;54%
5;106068;F;VENEZIA;CL01;2;2009;2;1;0;0;;45%
5;105889;M;MILANO;CL01;2;2015;3;1;0;0;;45%
5;100675;M;EXTRA-UE;CL09;2;2005;3;0;0;0;;23%
5;95522;M;CATANIA;CL05;2;2001;3;1;1;1;;56%
5;99341;M;EXTRA-UE;CL09;2;2012;3;1;1;1;;85%
5;101389;M;CATANIA;CL05;1;2008;3;1;0;0;;56%
5;96500;M;PERUGIA;CL01;2;2002;3;0;0;0;;27%
5;101005;M;TORINO;CL05;2;2018;3;0;0;0;;23%
5;94367;F;VERONA;CL01;2;2014;3;0;0;0;;33%
5;74384;F;MILANO;CL05;2;2010;3;1;1;1;;45%
5;77942;M;GENOVA;CL05;1;2017;3;1;1;1;;45%
5;101469;M;UDINE;CL01;2;2015;3;1;1;1;;85%
5;99289;M;PERUGIA;CL01;2;2001;3;1;0;0;;54%
5;93471;M;REGGIO CALABRIA;CL05;1;2011;2;1;1;1;;71%
5;103175;M;TRENTO;CL01;2;2005;3;1;1;1;;71%
5;101679;M;PESCARA;CL01;2;2017;3;0;1;0;;14%
5;98123;M;NAPOLI;CL05;2;2015;3;1;1;1;1;69%
5;87218;M;MILANO;CL05;2;2015;3;1;1;1;;82%
5;89598;M;ROMA;CL05;2;2018;3;1;1;1;;69%
5;98876;M;CATANIA;CL01;1;2018;3;0;0;0;1;18%
5;97455;M;CATANIA;CL01;2;2015;3;1;0;0;;64%
5;103565;M;TRENTO;CL04;2;2018;3;1;1;1;1;82%
5;103791;M;TORINO;CL01;1;2011;3;1;1;1;;64%
5;89206;M;SALERNO;CL05;2;2016;3;1;1;1;;78%
5;83182;F;PADOVA;CL05;2;2015;3;1;0;0;;78%
5;95249;F;PISA;CL01;2;2016;3;1;1;1;1;54%
5;85892;M;EXTRA-UE;CL09;1;2013;3;0;0;0;;14%
5;101566;M;CATANIA;CL01;2;2014;3;1;1;1;;64%
5;88148;M;CAGLIARI;CL01;2;2015;3;1;1;1;;54%
5;84218;F;PADOVA;CL05;2;2018;3;0;0;0;;23%
5;99386;M;TRENTO;CL05;2;2017;3;1;1;1;;100%
5;103309;M;TORINO;CL05;2;2016;3;1;1;1;;56%
5;89181;M;SALERNO;CL05;2;2016;3;1;1;1;;82%
5;89113;M;PISA;CL05;2;1998;3;1;1;1;;82%
5;98584;M;MILANO;CL05;1;2005;3;0;1;0;;20%
5;88573;M;BARI;CL05;2;2015;2;1;1;1;1;54%
5;105415;M;ROMA;CL03;2;2014;3;1;0;0;;64%
5;94394;M;TRENTO;CL09;1;2011;3;1;0;0;;64%
5;102723;M;CATANIA;CL01;1;2008;2;0;1;0;1;23%
5;105423;F;EXTRA-UE;CL09;1;2003;2;1;1;1;;54%
5;94226;M;SALERNO;CL01;2;2014;3;0;1;0;;33%
